,0
630,The article is a review of the book “Plagued by Fire: The Dreams and Furies of Frank Lloyd Wright” by Paul Hendrickson. The book is a biography of the famous architect Frank Lloyd Wright.
631,Democrats aimed to question two more witnesses behind closed doors Wednesday as they build their impeachment case against President Donald Trump. The effort to impeach Trump has picked up steam in recent weeks as more details have emerged about a phone call between Trump and Ukrainian President Volodymyr Zelensky.
632,"UK will leave the EU on October 31st, 2019. These leaked proposals are out of date and do not reflect the current state of negotiations."
633,"Mike Wilson, the head of Morgan Stanley's equity trading desk, says the WeWork IPO fiasco marks the top for ""unicorns"" and tech stocks in general. He says the market is now in the ""late innings"" of the current economic cycle."
634,"She broke the world record in the 400-meter hurdles at the world championships in Doha, Qatar, on Tuesday night, winning her second consecutive gold medal in the event.

Dalilah Muhammad of the United States ran a time of 52.16 seconds, bettering the previous record of 52"
635,"Some claim that the new iPhone 11 is not much of an upgrade from the iPhone XR. The new phone has two cameras instead of one, a slightly faster processor, and a new color option."
636,"Activists used a megaphone and chanted ""it's not food, it's violence"" while blocking the entrance to a Whole Foods in California. Dozens of people were arrested."
637,The article discusses how the Ivory Coast is working to increase its cocoa production in order to become the world's top producer. The country has been investing in infrastructure and programs to support farmers.
638,The Dow is up today as stock market investors are optimistic about the U.S. trade talks with China. The Dow is currently up by over 200 points.
639,"In the wake of the one year anniversary of the Las Vegas massacre, gun control is once again a hot button issue. The debate rages on over whether or not more gun control is the answer to preventing mass shootings."
640,"The mixed results are in from the first full year of the Trump administration’s repeal of net neutrality rules, with some consumers seeing higher prices for internet service and others faring better."
641,"As one of the world's largest oil producers, Saudi Arabia's Aramco is a key player in the country's economy. However, recent attacks on Saudi oil facilities have put the company's future in jeopardy."
642,"Facebook CEO Mark Zuckerberg is caught on tape calling reports of content moderators' working conditions ""overdramatic."" He also downplays the importance of Facebook in the 2020 election."
643,Southwest Airlines is having a ticket sale for fall and winter travel. Chris Parypa has all the details.
644,"Companies seek to exclude 2,500+ products from upcoming tariffs on Chinese imports. The list of products covers a wide range, from chemicals to textiles to consumer goods."
645,"Getty Images

MMA coach John Kavanagh says a fight between YouTube star Jake Paul and Dillon Danis could happen in the near future. Kavanagh, who is Paul's coach, says the fight would happen under boxing rules."
